record_id,api_name,smiles,molecular_weight,logP,pKa,aqueous_solubility_log,bcs_class,decomposition_onset_c,tg_predicted_celsius,hygroscopicity_class,polymorphism_risk_tier,particle_size_d50_um,bulk_density_g_ml,tapped_density_g_ml,true_density_g_cm3,flow_properties_carr_index,dose_mg,asd_suitability_score,excipient_name,functional_role,compatibility_tier,composite_compatibility,disc_match_score,fir_match_score,api_fir_spectrum,moisture_stability,polymorphic_risk,confidence_level,concentration_range_pct,is_most_compatible,alternatives_for_role,rejected_excipients,shap_values_per_excipient,primary_technique,technique_confidence,process_parameters,alternative_techniques,desirability_weight,rejection_reason_primary,formulation_strategy
AB-2000,Paracetamol,CC(=O)Nc1ccc(O)cc1,151.13,0.71,[9.4],-0.83,I,247.7,,low,low,64.0,0.5,0.65,1.44,23.9,500,40.8,Lactose monohydrate,filler_binder,2,0.76,0.73,0.69,"{""wavenumbers"": [757, 904, 1038, 1244, 1450, 1626, 1705, 2944, 3302], ""absorbance"": [0.606, 0.091, 0.638, 0.324, 0.126, 0.564, 0.134, 0.819, 0.37], ""mw_ref"": 151.13}",0.86,0.08,0.74,"{""min"": 30, ""max"": 51, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Mannitol"", ""compatibility_score"": 0.828}, {""excipient"": ""HPC LF"", ""compatibility_score"": 0.789}]","[{""excipient"": ""Mannitol"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 1.819}, {""excipient"": ""MCC PH101"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.643}]","[0.0028, -0.0365, 0.0063, 0.0129, 0.0054, 0.0391, -0.0445, 0.0021]",wet_granulation,0.699,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 12.62}, {""parameter"": ""impeller_speed_rpm"", ""value"": 252.53}, {""parameter"": ""granulation_time_min"", ""value"": 9.43}, {""parameter"": ""drying_temp_c"", ""value"": 48.36}]","[{""technique"": ""direct_compression"", ""confidence"": 0.809}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.51}]",0.54,high_residual_solvent_risk,crystalline_suspension
AB-2001,Simvastatin,CCC(C)(C)C(=O)OC1CC(O)CC(=O)O1,418.94,4.8,[],-4.09,II,149.4,,low,low,50.1,0.38,0.53,1.23,28.8,40,98.0,Kollidon VA 64,polymer_carrier,1,0.88,0.87,0.83,"{""wavenumbers"": [748, 903, 1059, 1241, 1453, 1625, 1706, 2947, 3295], ""absorbance"": [0.387, 0.148, 0.334, 0.205, 0.271, 0.567, 0.387, 0.757, 0.666], ""mw_ref"": 418.94}",0.95,0.07,0.85,"{""min"": 20, ""max"": 43, ""unit"": ""% w/w""}",True,"[{""excipient"": ""PVP K17"", ""compatibility_score"": 0.786}, {""excipient"": ""Soluplus"", ""compatibility_score"": 0.861}]","[{""excipient"": ""HPMC E15"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.222}, {""excipient"": ""PVPVA 64"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 1.492}]","[0.1444, -0.003, 0.0144, 0.0045, 0.019, 0.0442, -0.0173, -0.0153]",coprecipitation,0.829,"[{""parameter"": ""antisolvent_ratio"", ""value"": 14.92}, {""parameter"": ""precipitation_temp_c"", ""value"": 12.91}, {""parameter"": ""drying_time_h"", ""value"": 39.81}, {""parameter"": ""polymer_drug_ratio"", ""value"": 4.11}]","[{""technique"": ""spray_drying"", ""confidence"": 0.655}, {""technique"": ""nanosuspension"", ""confidence"": 0.705}]",0.31,,amorphous_solid_dispersion
AB-2002,Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N)cc2)cc1,381.82,3.47,[11.1],-3.23,II,207.0,,low,medium,50.8,0.47,0.63,1.32,26.9,200,91.7,PEG 4000,plasticizer,2,0.79,0.76,0.75,"{""wavenumbers"": [740, 899, 1036, 1240, 1453, 1607, 1734, 2957, 3301], ""absorbance"": [0.186, 0.132, 0.828, 0.965, 0.773, 0.828, 0.94, 0.443, 0.353], ""mw_ref"": 381.82}",0.94,0.23,0.78,"{""min"": 5, ""max"": 21, ""unit"": ""% w/w""}",True,"[{""excipient"": ""PEG 6000"", ""compatibility_score"": 0.705}, {""excipient"": ""TEC"", ""compatibility_score"": 0.757}]","[{""excipient"": ""TBC"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.65}, {""excipient"": ""PEG 6000"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 2.725}]","[0.03, 0.006, 0.0021, -0.0166, 0.0673, 0.0317, -0.0043, -0.0016]",hot_melt_coating,0.778,"[{""parameter"": ""coating_temp_c"", ""value"": 60.02}, {""parameter"": ""spray_rate_g_min"", ""value"": 18.79}, {""parameter"": ""pan_speed_rpm"", ""value"": 13.8}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 7.8}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.752}, {""technique"": ""hot_melt_extrusion"", ""confidence"": 0.464}]",0.81,,solid_solution
AB-2003,Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,454.77,3.66,[8.8],-1.82,I,140.2,,low,low,53.5,0.47,0.6,1.24,25.8,240,58.5,PEG 6000,plasticizer,2,0.79,0.77,0.68,"{""wavenumbers"": [764, 900, 1042, 1246, 1458, 1617, 1717, 2938, 3304], ""absorbance"": [0.814, 0.773, 0.999, 0.205, 0.297, 0.204, 0.571, 0.987, 0.517], ""mw_ref"": 454.77}",0.94,0.12,0.81,"{""min"": 5, ""max"": 15, ""unit"": ""% w/w""}",True,"[{""excipient"": ""TEC"", ""compatibility_score"": 0.676}, {""excipient"": ""PEG 4000"", ""compatibility_score"": 0.732}]","[{""excipient"": ""PEG 4000"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 2.457}, {""excipient"": ""TBC"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 1.242}]","[0.0018, 0.1242, 0.0201, 0.0081, 0.0484, 0.0504, 0.0359, -0.0066]",hot_melt_coating,0.794,"[{""parameter"": ""coating_temp_c"", ""value"": 83.0}, {""parameter"": ""spray_rate_g_min"", ""value"": 19.44}, {""parameter"": ""pan_speed_rpm"", ""value"": 27.15}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 10.85}]","[{""technique"": ""direct_compression"", ""confidence"": 0.767}, {""technique"": ""wet_granulation"", ""confidence"": 0.565}]",0.47,,solid_solution
AB-2004,Fenofibrate,CCOC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,360.36,5.33,[],-5.0,II,181.0,,low,low,27.5,0.33,0.48,1.16,27.9,145,98.0,HPMC-AS LF,polymer_carrier,2,0.83,0.81,0.78,"{""wavenumbers"": [750, 900, 1037, 1261, 1446, 1619, 1729, 2963, 3298], ""absorbance"": [0.482, 0.102, 0.44, 0.591, 0.79, 0.777, 0.999, 0.553, 0.84], ""mw_ref"": 360.36}",0.92,0.09,0.79,"{""min"": 20, ""max"": 35, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Copovidone"", ""compatibility_score"": 0.851}, {""excipient"": ""HPMC-AS HF"", ""compatibility_score"": 0.818}]","[{""excipient"": ""PVPVA 64"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 1.592}, {""excipient"": ""PVP K17"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 2.329}]","[0.0386, 0.0184, 0.0451, 0.0164, 0.0068, 0.0028, 0.007, 0.0225]",hot_melt_extrusion,0.774,"[{""parameter"": ""barrel_temp_c"", ""value"": 139.6}, {""parameter"": ""screw_speed_rpm"", ""value"": 193.68}, {""parameter"": ""feed_rate_g_min"", ""value"": 7.09}, {""parameter"": ""residence_time_min"", ""value"": 6.04}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.511}, {""technique"": ""coprecipitation"", ""confidence"": 0.807}]",0.74,moisture_uptake_amorphous_collapse,amorphous_solid_dispersion
AB-2005,Piroxicam,OC1=C(C(=O)Nc2ccccn2)c2ccccc2S(=O)(=O)N1C,332.21,3.04,"[5.1, 1.8]",-3.49,II,205.1,,low,high,44.9,0.41,0.55,1.26,27.9,20,84.5,Captex 355,lipid_base,2,0.78,0.77,0.77,"{""wavenumbers"": [736, 891, 1050, 1237, 1452, 1613, 1717, 2937, 3312], ""absorbance"": [0.197, 0.743, 0.683, 0.987, 0.736, 0.643, 0.608, 0.669, 0.961], ""mw_ref"": 332.21}",0.92,0.45,0.76,"{""min"": 20, ""max"": 33, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Capmul MCM"", ""compatibility_score"": 0.777}, {""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.795}]","[{""excipient"": ""Labrasol"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 2.295}, {""excipient"": ""Capmul MCM"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.278}]","[0.012, 0.0004, 0.0961, 0.0075, 0.0023, 0.0034, 0.0172, 0.0054]",lipid_based_formulation,0.698,"[{""parameter"": ""lipid_content_pct"", ""value"": 60.49}, {""parameter"": ""hlb_value"", ""value"": 12.72}, {""parameter"": ""drug_loading_pct"", ""value"": 26.19}, {""parameter"": ""surfactant_ratio"", ""value"": 0.49}]","[{""technique"": ""spray_drying"", ""confidence"": 0.56}, {""technique"": ""nanosuspension"", ""confidence"": 0.576}]",0.64,melting_point_depression_below_processing_window,lipid_based_drug_delivery
AB-2006,Meropenem,C[C@@H]1C2CC(=C(N)O)N2C(=O)[C@H]1SC1CNC(CN)=N1,384.01,-4.05,"[3.0, 7.4]",-2.84,IV,195.6,,high,low,60.2,0.46,0.65,1.43,25.2,500,67.7,Gelucire 44/14,lipid_base,3,0.6,0.59,0.57,"{""wavenumbers"": [756, 902, 1038, 1242, 1442, 1619, 1716, 2955, 3300], ""absorbance"": [0.711, 0.466, 0.393, 0.312, 0.145, 0.578, 0.476, 0.204, 0.861], ""mw_ref"": 384.01}",0.51,0.1,0.6,"{""min"": 20, ""max"": 68, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Captex 355"", ""compatibility_score"": 0.73}, {""excipient"": ""Labrasol"", ""compatibility_score"": 0.77}]","[{""excipient"": ""Captex 355"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.967}, {""excipient"": ""Capmul MCM"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 1.225}]","[0.0036, 0.0157, 0.0104, 0.0013, 0.0131, -0.0011, 0.0015, -0.0079]",lipid_based_formulation,0.582,"[{""parameter"": ""lipid_content_pct"", ""value"": 55.85}, {""parameter"": ""hlb_value"", ""value"": 11.91}, {""parameter"": ""drug_loading_pct"", ""value"": 25.73}, {""parameter"": ""surfactant_ratio"", ""value"": 0.33}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.72}, {""technique"": ""coprecipitation"", ""confidence"": 0.694}]",0.49,hygroscopicity_induced_phase_separation,lipid_based_drug_delivery
AB-2007,Ketoprofen,CC(C(=O)O)c1ccc(cc1)C(=O)c1ccccc1,253.86,3.08,[4.5],-2.58,II,98.4,,low,low,37.3,0.39,0.54,1.22,27.7,100,96.2,HPMC-AS HF,polymer_carrier,2,0.82,0.8,0.76,"{""wavenumbers"": [740, 899, 1060, 1264, 1456, 1608, 1731, 2963, 3291], ""absorbance"": [0.462, 0.559, 0.85, 0.477, 0.504, 0.157, 0.915, 0.346, 0.449], ""mw_ref"": 253.86}",0.91,0.09,0.84,"{""min"": 20, ""max"": 43, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPMC E5"", ""compatibility_score"": 0.702}, {""excipient"": ""Soluplus"", ""compatibility_score"": 0.818}]","[{""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 1.353}, {""excipient"": ""PVP K30"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 2.287}]","[0.0185, 0.0026, 0.0462, -0.0021, 0.0623, -0.0663, 0.0565, -0.0449]",spray_drying,0.827,"[{""parameter"": ""inlet_temp_c"", ""value"": 135.29}, {""parameter"": ""outlet_temp_c"", ""value"": 89.62}, {""parameter"": ""feed_conc_pct"", ""value"": 10.67}, {""parameter"": ""atomization_pressure_bar"", ""value"": 4.81}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.66}, {""technique"": ""nanosuspension"", ""confidence"": 0.697}]",0.39,,amorphous_solid_dispersion
AB-2008,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)SNC(=O)N2,295.54,-0.18,"[6.7, 9.5]",-3.15,IV,360.4,,low,medium,42.0,0.36,0.51,1.25,27.1,250,82.7,Eudragit EPO,polymer_carrier,2,0.73,0.69,0.66,"{""wavenumbers"": [735, 899, 1050, 1240, 1442, 1612, 1725, 2949, 3299], ""absorbance"": [0.914, 0.683, 0.19, 0.849, 0.674, 0.429, 0.598, 0.844, 0.333], ""mw_ref"": 295.54}",0.92,0.24,0.72,"{""min"": 20, ""max"": 30, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC E15"", ""compatibility_score"": 0.731}, {""excipient"": ""HPMC-AS LF"", ""compatibility_score"": 0.767}]","[{""excipient"": ""PVP K17"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.665}, {""excipient"": ""PVPVA 64"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.978}]","[-0.0128, -0.0015, 0.0492, 0.0095, -0.0238, 0.0, 0.0011, -0.0054]",hot_melt_extrusion,0.704,"[{""parameter"": ""barrel_temp_c"", ""value"": 196.25}, {""parameter"": ""screw_speed_rpm"", ""value"": 50.26}, {""parameter"": ""feed_rate_g_min"", ""value"": 14.54}, {""parameter"": ""residence_time_min"", ""value"": 3.66}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.699}, {""technique"": ""nanosuspension"", ""confidence"": 0.603}]",0.69,acid_base_interaction_proton_transfer,amorphous_solid_dispersion
AB-2009,Repaglinide,CCOC(=O)c1ccc(CC(=O)N2CCC(CC2)C(=O)Nc2ccccc2C)cc1,452.67,5.09,[4.0],-4.78,II,128.6,,low,low,26.1,0.35,0.45,1.19,29.4,2,98.0,PVP K17,polymer_carrier,2,0.82,0.8,0.72,"{""wavenumbers"": [752, 891, 1064, 1262, 1440, 1631, 1734, 2944, 3310], ""absorbance"": [0.273, 0.478, 0.878, 0.178, 0.236, 0.537, 0.815, 0.796, 0.686], ""mw_ref"": 452.67}",0.93,0.07,0.83,"{""min"": 20, ""max"": 41, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPMC-AS LF"", ""compatibility_score"": 0.877}, {""excipient"": ""Soluplus"", ""compatibility_score"": 0.853}]","[{""excipient"": ""Copovidone"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 2.964}, {""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 2.39}]","[0.0261, 0.0625, 0.0012, 0.0031, 0.0502, 0.0108, -0.0245, 0.0126]",coprecipitation,0.776,"[{""parameter"": ""antisolvent_ratio"", ""value"": 7.8}, {""parameter"": ""precipitation_temp_c"", ""value"": 15.03}, {""parameter"": ""drying_time_h"", ""value"": 36.26}, {""parameter"": ""polymer_drug_ratio"", ""value"": 4.47}]","[{""technique"": ""spray_drying"", ""confidence"": 0.778}, {""technique"": ""nanosuspension"", ""confidence"": 0.735}]",0.2,,amorphous_solid_dispersion
