record_id,api_name,bcs_class,bcs_class_encoded,logP,aqueous_solubility_mg_ml,molecular_weight_da,pka,melting_point_c,dose_mg,dose_number,hsp_dispersive,hsp_polar,hsp_hydrogen,hsp_total,primary_excipient,excipient_role,excipient_Tg_c,excipient_mw_kda,excipient_hydrophilicity,chi_parameter,formulation_technique,compatibility_score,moisture_stability,polymorphic_risk,confidence_level,concentration_range_pct,is_most_compatible,alternatives_for_role,rejected_excipients,shap_values_per_excipient,primary_technique,technique_confidence,process_parameters,alternative_techniques,desirability_weight,rejection_reason_primary,formulation_strategy
EF-1000,Dexamethasone,I,0,1.83,0.089,392.5,2.9,262,8,0.09,20.16,10.12,18.17,28.97,MCC PH101,filler_binder,N/A,N/A,hydrophilic,0.357,wet_granulation,0.689,0.83,0.16,0.69,"{""min"": 37, ""max"": 64, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Starch 1500"", ""compatibility_score"": 0.559}, {""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.616}]","[{""excipient"": ""DCPA"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 0.01}, {""excipient"": ""Colloidal SiO2"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 0.247}]","[0.0014, -0.0466, -0.0213, -0.0285, 0.0005, 0.0812]",wet_granulation,0.69,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 15.1, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 146.64, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 19.36, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 50.1, ""unit"": ""\u00b0C""}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.484}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.747}]",0.57,thermodynamic_incompatibility_chi_exceeds_threshold,nanosizing
EF-1001,Indomethacin,II,1,4.27,0.937,357.8,4.5,162,25,0.027,17.05,9.54,18.05,26.6,PVP K30,ASD_polymer,175,50,hydrophilic,1.38,coprecipitation,0.628,0.78,0.32,0.66,"{""min"": 22, ""max"": 67, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.761}, {""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.564}]","[{""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 1.152}, {""excipient"": ""Poloxamer 188"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.01}]","[-0.028, -0.004, 0.0131, 0.0163, 0.0009, 0.017]",coprecipitation,0.637,"[{""parameter"": ""antisolvent_ratio"", ""value"": 9.0, ""unit"": ""v/v""}, {""parameter"": ""precipitation_temp_c"", ""value"": 23.42, ""unit"": ""\u00b0C""}, {""parameter"": ""drying_time_h"", ""value"": 35.33, ""unit"": ""h""}, {""parameter"": ""polymer_drug_ratio"", ""value"": 3.44, ""unit"": ""w/w""}]","[{""technique"": ""spray_drying"", ""confidence"": 0.705}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.507}]",0.42,polymorphic_conversion_under_stress,complexation_cyclodextrin
EF-1002,Atorvastatin,II,1,6.36,0.009,558.6,4.3,159,40,4.44,17.81,2.79,18.52,25.85,Poloxamer 188,solubilizer,-20,8.4,hydrophilic,2.004,hot_melt_coating,0.898,0.8,0.11,0.89,"{""min"": 6, ""max"": 40, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.614}, {""excipient"": ""PEG 6000"", ""compatibility_score"": 0.7}]","[{""excipient"": ""PEG 4000"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 1.081}, {""excipient"": ""MCC PH101"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 0.775}]","[0.0033, 0.0066, 0.0071, 0.0018, -0.0313, -0.0134]",hot_melt_coating,0.864,"[{""parameter"": ""coating_temp_c"", ""value"": 89.89, ""unit"": ""\u00b0C""}, {""parameter"": ""spray_rate_g_min"", ""value"": 7.07, ""unit"": ""g/min""}, {""parameter"": ""pan_speed_rpm"", ""value"": 19.87, ""unit"": ""rpm""}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 12.07, ""unit"": ""%""}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.503}, {""technique"": ""hot_melt_extrusion"", ""confidence"": 0.506}]",0.63,,nanosizing
EF-1003,Testosterone,II,1,3.32,0.023,288.4,9.2,155,40,1.74,21.8,12.33,3.2,25.25,Eudragit EPO,ASD_polymer,50,47,cationic,0.395,hot_melt_extrusion,0.623,0.94,0.08,0.6,"{""min"": 36, ""max"": 58, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Soluplus"", ""compatibility_score"": 0.775}, {""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.781}]","[{""excipient"": ""CAP"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.676}, {""excipient"": ""PVP K12"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.746}]","[-0.0067, -0.0013, 0.0139, 0.0007, 0.0371, 0.0126]",hot_melt_extrusion,0.614,"[{""parameter"": ""barrel_temp_c"", ""value"": 143.88, ""unit"": ""\u00b0C""}, {""parameter"": ""screw_speed_rpm"", ""value"": 145.84, ""unit"": ""rpm""}, {""parameter"": ""feed_rate_g_min"", ""value"": 9.92, ""unit"": ""g/min""}, {""parameter"": ""residence_time_min"", ""value"": 2.07, ""unit"": ""min""}]","[{""technique"": ""hot_melt_coating"", ""confidence"": 0.639}, {""technique"": ""wet_granulation"", ""confidence"": 0.723}]",0.52,thermodynamic_incompatibility_chi_exceeds_threshold,solid_solution
EF-1004,Testosterone,II,1,3.32,0.023,288.4,9.3,155,40,1.74,16.69,8.81,4.34,19.37,Poloxamer 188,solubilizer,-20,8.4,hydrophilic,0.752,lipid_based_formulation,0.725,0.82,0.14,0.65,"{""min"": 12, ""max"": 23, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.589}, {""excipient"": ""Cremophor EL"", ""compatibility_score"": 0.693}]","[{""excipient"": ""Crospovidone"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 0.01}, {""excipient"": ""PVP K90"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 0.018}]","[-0.013, 0.0138, 0.0458, 0.0355, 0.0764, 0.0224]",lipid_based_formulation,0.639,"[{""parameter"": ""lipid_content_pct"", ""value"": 51.05, ""unit"": ""%""}, {""parameter"": ""hlab_value"", ""value"": 8.85, ""unit"": ""dimensionless""}, {""parameter"": ""drug_loading_pct"", ""value"": 10.62, ""unit"": ""%""}, {""parameter"": ""surfactant_ratio"", ""value"": 0.24, ""unit"": ""w/w""}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.531}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.527}]",0.2,,salt_formation
EF-1005,Dexamethasone,I,0,1.83,0.089,392.5,4.1,262,8,0.09,15.5,4.86,14.37,21.69,Lactose monohydrate,filler,N/A,N/A,hydrophilic,0.222,wet_granulation,0.695,0.73,0.14,0.63,"{""min"": 57, ""max"": 70, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVP K30"", ""compatibility_score"": 0.623}, {""excipient"": ""Starch 1500"", ""compatibility_score"": 0.692}]","[{""excipient"": ""SDS"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 0.418}, {""excipient"": ""Eudragit L100"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.285}]","[-0.0105, 0.0193, 0.0514, 0.0095, 0.0029, 0.0125]",wet_granulation,0.619,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 15.09, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 358.5, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 8.73, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 45.71, ""unit"": ""\u00b0C""}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.598}, {""technique"": ""spray_drying"", ""confidence"": 0.547}]",0.32,chemical_reactivity_esterification_risk,amorphous_solid_dispersion
EF-1006,Ketoprofen,II,1,3.12,0.051,254.3,4.5,94,100,1.96,20.27,4.84,9.91,23.08,PVP K30,ASD_polymer,175,50,hydrophilic,0.813,coprecipitation,0.827,0.76,0.09,0.75,"{""min"": 22, ""max"": 79, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.809}, {""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.821}]","[{""excipient"": ""PVP K90"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 0.01}, {""excipient"": ""Gelucire 44/14"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 0.578}]","[-0.0522, 0.0604, 0.0002, 0.0219, 0.0166, 0.0077]",coprecipitation,0.727,"[{""parameter"": ""antisolvent_ratio"", ""value"": 19.53, ""unit"": ""v/v""}, {""parameter"": ""precipitation_temp_c"", ""value"": 14.48, ""unit"": ""\u00b0C""}, {""parameter"": ""drying_time_h"", ""value"": 31.52, ""unit"": ""h""}, {""parameter"": ""polymer_drug_ratio"", ""value"": 3.99, ""unit"": ""w/w""}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.654}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.626}]",0.75,,amorphous_solid_dispersion
EF-1007,Lopinavir,II,1,5.95,0.001,628.8,4.5,125,200,200.0,16.65,3.44,18.13,24.85,HPMC AS-LF,ASD_polymer,119,18,amphiphilic,1.332,hot_melt_extrusion,0.716,0.85,0.11,0.73,"{""min"": 41, ""max"": 77, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Soluplus"", ""compatibility_score"": 0.736}, {""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.676}]","[{""excipient"": ""Magnesium stearate"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 0.85}, {""excipient"": ""SSG"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 0.77}]","[0.0481, 0.0036, -0.0225, 0.1646, 0.0189, -0.0108]",hot_melt_extrusion,0.716,"[{""parameter"": ""barrel_temp_c"", ""value"": 194.32, ""unit"": ""\u00b0C""}, {""parameter"": ""screw_speed_rpm"", ""value"": 190.36, ""unit"": ""rpm""}, {""parameter"": ""feed_rate_g_min"", ""value"": 2.12, ""unit"": ""g/min""}, {""parameter"": ""residence_time_min"", ""value"": 5.35, ""unit"": ""min""}]","[{""technique"": ""nanosuspension"", ""confidence"": 0.476}, {""technique"": ""spray_drying"", ""confidence"": 0.525}]",0.34,oxidative_degradation_peroxide_content,crystalline_suspension
EF-1008,Carbamazepine,II,1,2.45,0.112,236.3,8.5,190,200,1.79,19.92,9.34,19.78,29.59,HPMC AS-HF,ASD_polymer,119,18,amphiphilic,0.495,spray_drying,0.638,0.93,0.39,0.6,"{""min"": 46, ""max"": 67, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.64}, {""excipient"": ""Soluplus"", ""compatibility_score"": 0.749}]","[{""excipient"": ""PVP K17"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 0.381}, {""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 0.445}]","[0.0021, -0.0445, 0.0564, 0.0008, 0.0357, -0.0128]",spray_drying,0.604,"[{""parameter"": ""inlet_temp_c"", ""value"": 168.23, ""unit"": ""\u00b0C""}, {""parameter"": ""outlet_temp_c"", ""value"": 70.22, ""unit"": ""\u00b0C""}, {""parameter"": ""feed_conc_pct"", ""value"": 5.26, ""unit"": ""%""}, {""parameter"": ""atomization_pressure_bar"", ""value"": 4.63, ""unit"": ""bar""}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.672}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.74}]",0.18,oxidative_degradation_peroxide_content,solid_solution
EF-1009,Ketoconazole,II,1,4.34,0.005,531.4,6.5,146,200,40.0,15.53,12.6,18.37,27.16,Poloxamer 188,solubilizer,-20,8.4,hydrophilic,1.232,hot_melt_coating,0.794,0.85,0.17,0.73,"{""min"": 5, ""max"": 27, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Gelucire 44/14"", ""compatibility_score"": 0.8}, {""excipient"": ""PEG 4000"", ""compatibility_score"": 0.725}]","[{""excipient"": ""PVP K30"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.491}, {""excipient"": ""Tween 80"", ""rejection_reason"": ""chemical_reactivity_esterification_risk"", ""chi_parameter"": 0.733}]","[0.0033, 0.0012, 0.0269, 0.0272, 0.0118, 0.0049]",hot_melt_coating,0.733,"[{""parameter"": ""coating_temp_c"", ""value"": 85.37, ""unit"": ""\u00b0C""}, {""parameter"": ""spray_rate_g_min"", ""value"": 11.1, ""unit"": ""g/min""}, {""parameter"": ""pan_speed_rpm"", ""value"": 22.41, ""unit"": ""rpm""}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 4.85, ""unit"": ""%""}]","[{""technique"": ""spray_drying"", ""confidence"": 0.792}, {""technique"": ""coprecipitation"", ""confidence"": 0.734}]",0.77,,complexation_cyclodextrin
EF-1010,Naproxen,II,1,3.18,0.016,230.3,4.2,156,500,31.25,21.05,11.73,7.54,25.25,Soluplus,ASD_polymer,70,118,amphiphilic,0.548,spray_drying,0.793,0.98,0.12,0.81,"{""min"": 45, ""max"": 71, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Eudragit L100"", ""compatibility_score"": 0.665}, {""excipient"": ""HPMC AS-LF"", ""compatibility_score"": 0.562}]","[{""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 0.643}, {""excipient"": ""Eudragit EPO"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 0.102}]","[0.0684, 0.0149, -0.0216, 0.0754, 0.0576, -0.1039]",spray_drying,0.783,"[{""parameter"": ""inlet_temp_c"", ""value"": 105.55, ""unit"": ""\u00b0C""}, {""parameter"": ""outlet_temp_c"", ""value"": 80.93, ""unit"": ""\u00b0C""}, {""parameter"": ""feed_conc_pct"", ""value"": 6.56, ""unit"": ""%""}, {""parameter"": ""atomization_pressure_bar"", ""value"": 3.04, ""unit"": ""bar""}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.566}, {""technique"": ""nanosuspension"", ""confidence"": 0.46}]",0.76,,complexation_cyclodextrin
EF-1011,Metformin,III,2,-6.13,1000.0,129.2,2.8,222,500,0.0005,20.1,5.76,13.31,24.79,Starch 1500,disintegrant,N/A,N/A,hydrophilic,1.808,wet_granulation,0.781,0.81,0.12,0.8,"{""min"": 5, ""max"": 10, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Croscarmellose Na"", ""compatibility_score"": 0.666}, {""excipient"": ""MCC PH101"", ""compatibility_score"": 0.723}]","[{""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 2.086}, {""excipient"": ""HPMC K4M"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 1.803}]","[-0.0624, 0.02, 0.118, 0.0303, 0.0023, -0.0955]",wet_granulation,0.793,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 11.87, ""unit"": ""%""}, {""parameter"": ""impeller_speed_rpm"", ""value"": 370.01, ""unit"": ""rpm""}, {""parameter"": ""granulation_time_min"", ""value"": 12.61, ""unit"": ""min""}, {""parameter"": ""drying_temp_c"", ""value"": 60.01, ""unit"": ""\u00b0C""}]","[{""technique"": ""direct_compression"", ""confidence"": 0.694}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.644}]",0.28,high_residual_solvent_risk,crystalline_suspension
